2025-12-25 01:32:32 - mkk_comic - app.py:863 - INFO - 运行环境：GitHub Actions（自动化模式）
2025-12-25 01:32:32 - mkk_comic - app.py:820 - INFO - ===== 开始检查更新=====
2025-12-25 01:32:32 - mkk_comic - app.py:838 - INFO - 【名侦探柯南】上次下载至第1章
2025-12-25 01:32:33 - mkk_comic - app.py:845 - INFO - 【名侦探柯南】检测到更新！最新：271章
2025-12-25 01:32:33 - mkk_comic - app.py:848 - INFO - 【名侦探柯南】最大下载限制为2章-需下载2~3章）
2025-12-25 01:32:33 - mkk_comic - app.py:494 - INFO - 正在下载第2章: 第02卷    UUID:28fe3f3a-c85c-11e8-8859-024352452ce0
2025-12-25 01:32:34 - mkk_comic - app.py:502 - INFO - 创建目录: ./out/名偵探柯南/第02卷
2025-12-25 01:32:34 - mkk_comic - app.py:505 - INFO - 开始下载: 名偵探柯南 - 第02卷
2025-12-25 01:32:34 - mkk_comic - app.py:506 - INFO - 总页数: 180
2025-12-25 01:32:34 - mkk_comic - app.py:582 - INFO - 正在下载第 001/180 页...
2025-12-25 01:32:34 - mkk_comic - app.py:582 - INFO - 正在下载第 002/180 页...
2025-12-25 01:32:34 - mkk_comic - app.py:582 - INFO - 正在下载第 003/180 页...
2025-12-25 01:32:34 - mkk_comic - app.py:582 - INFO - 正在下载第 004/180 页...
2025-12-25 01:32:34 - mkk_comic - app.py:582 - INFO - 正在下载第 005/180 页...
2025-12-25 01:32:34 - mkk_comic - app.py:582 - INFO - 正在下载第 006/180 页...
2025-12-25 01:32:34 - mkk_comic - app.py:582 - INFO - 正在下载第 007/180 页...
2025-12-25 01:32:34 - mkk_comic - app.py:582 - INFO - 正在下载第 008/180 页...
2025-12-25 01:32:34 - mkk_comic - app.py:582 - INFO - 正在下载第 009/180 页...
2025-12-25 01:32:34 - mkk_comic - app.py:582 - INFO - 正在下载第 010/180 页...
2025-12-25 01:32:35 - mkk_comic - app.py:582 - INFO - 正在下载第 011/180 页...
2025-12-25 01:32:35 - mkk_comic - app.py:582 - INFO - 正在下载第 012/180 页...
2025-12-25 01:32:35 - mkk_comic - app.py:582 - INFO - 正在下载第 013/180 页...
2025-12-25 01:32:35 - mkk_comic - app.py:582 - INFO - 正在下载第 014/180 页...
2025-12-25 01:32:35 - mkk_comic - app.py:582 - INFO - 正在下载第 015/180 页...
2025-12-25 01:32:35 - mkk_comic - app.py:582 - INFO - 正在下载第 016/180 页...
2025-12-25 01:32:35 - mkk_comic - app.py:582 - INFO - 正在下载第 017/180 页...
2025-12-25 01:32:35 - mkk_comic - app.py:582 - INFO - 正在下载第 018/180 页...
2025-12-25 01:32:35 - mkk_comic - app.py:582 - INFO - 正在下载第 019/180 页...
2025-12-25 01:32:35 - mkk_comic - app.py:582 - INFO - 正在下载第 020/180 页...
2025-12-25 01:32:35 - mkk_comic - app.py:582 - INFO - 正在下载第 021/180 页...
2025-12-25 01:32:35 - mkk_comic - app.py:582 - INFO - 正在下载第 022/180 页...
2025-12-25 01:32:35 - mkk_comic - app.py:582 - INFO - 正在下载第 023/180 页...
2025-12-25 01:32:35 - mkk_comic - app.py:582 - INFO - 正在下载第 024/180 页...
2025-12-25 01:32:35 - mkk_comic - app.py:582 - INFO - 正在下载第 025/180 页...
2025-12-25 01:32:35 - mkk_comic - app.py:582 - INFO - 正在下载第 026/180 页...
2025-12-25 01:32:35 - mkk_comic - app.py:582 - INFO - 正在下载第 027/180 页...
